Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Jeff Buckley,Hallelujah ,"40,045","31,174,526",Chords,novice, Db, 1st fret, E A D G B E
Ed Sheeran,Perfect,"31,694","25,794,778",Chords,novice, Ab, 1st fret, E A D G B E
John Legend,All Of Me,"20,169","25,653,362",Chords,novice, Fm, 1st fret, E A D G B E
Passenger,Let Her Go,"17,267","24,556,593",Chords,novice, Em, 7th fret, E A D G B E
Led Zeppelin,Stairway To Heaven,"11,839","20,762,763",Tab,intermediate, Am,No Capo, E A D G B E
Jason Mraz,Im Yours ,"12,247","20,326,678",Chords,novice, B, 4th fret, E A D G B E
Elvis Presley,Cant Help Falling In Love,"19,747","19,857,493",Chords,intermediate, C, 2nd fret, E A D G B E
Ed Sheeran,Thinking Out Loud,"12,130","17,939,245",Chords,novice, D, 2nd fret, E A D G B E
Plain White T's,Airplane,695,"16,867,243",Tab,intermediate, Gm,No Capo, E A D G B E
Coldplay,The Scientist ,"10,523","15,183,884",Chords,novice, Bm, 3rd fret, E A D G B E
Adele,Someone Like You ,"3,166","14,972,548",Chords,intermediate, A,No Capo, E A D G B E
Bruno Mars,When I Was Your Man,"14,428","14,687,286",Chords,novice, C,No Capo, E A D G B E
Metallica,Nothing Else Matters,"2,999","14,583,222",Tab,intermediate, Em,No Capo, E A D G B E
Justin Bieber,Love Yourself,"11,055","14,329,200",Chords,novice, E, 4th fret,E A D G B E
Vance Joy,Riptide ,"17,693","14,057,389",Chords,novice, Bbm, 1st fret, E A D G B E
Ed Sheeran,Photograph,"14,028","13,952,081",Chords,novice, E, 2nd fret, E A D G B E
Radiohead,Creep,"16,789","13,684,244",Chords,novice, G,No Capo, E A D G B E
Pink Floyd,Wish You Were Here,"14,884","13,569,404",Chords,novice, Em,No Capo, E A D G B E
Oasis,Wonderwall ,"7,767","13,017,729",Chords,intermediate, F#m, 2nd fret, E A D G B E
Oasis,Dont Look Back In Anger,"11,981","12,942,507",Chords,novice, C,No Capo, E A D G B E
Train,Hey Soul Sister ,"6,896","11,729,033",Chords,novice, C, 4th fret, E A D G B E
Eagles,Hotel California ,"2,047","11,310,041",Tab,intermediate, Bm,No Capo, E A D G B E
Goo Goo Dolls,Iris ,"4,240","11,150,677",Chords,novice, Bm,No Capo, E A D G B E
Ed Sheeran,I See Fire ,"9,646","11,115,061",Chords,novice, Bbm, 6th fret, E A D G B E
Taylor Swift,Love Story,"5,966","11,073,935",Chords,novice, C, 2nd fret, E A D G B E
Guns N' Roses,Sweet Child O Mine ,"2,773","10,623,670",Tab,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Oasis,Wonderwall,"1,592","10,608,799",Chords,intermediate, F#m,No Capo, E A D G B E
Paramore,The Only Exception,"7,229","10,596,785",Chords,novice, B, 4th fret, E A D G B E
The Beatles,Let It Be,"6,517","10,284,189",Chords,novice, C,No Capo, E A D G B E
Coldplay,Viva La Vida,"9,339","10,108,319",Chords,intermediate, Ab, 1st fret, E A D G B E
